"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03a3a63b702144973d1ad45dd10fac864b2668bc
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03a611bc2dac7caa3d2ab2ac14444cbcf6009e6c
0,0,2,2,0,0,0,2,4,4,5,0,8,0,03adb13cdb848e9039357592d1269f5b80a816c2
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03b3ad21b8cf58318daf4733414f6506d67979b4
0,0,0,2,0,0,0,2,0,0,0,3,1,1,03bc6e12d20f53e72d39bc772270cd36ef1b9bb8
0,0,2,2,0,0,0,2,4,4,5,0,8,0,03c2c0a364cab518cc5054b55a284e7663f80dbd
0,0,0,0,0,0,0,2,4,4,5,0,8,0,03c9da788bed6242c1db31c1a77c7711ba4e3690
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03cb6a3f2738b7873620c4da9e59a9d628c1f6f7
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03e601b8a080bb5780f7650930b095e7a2ab6282
0,0,6,0,0,0,0,0,0,0,0,3,1,1,03e77fd71c31c2b3c44c9f312ab179e613f2dc42
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03ec9ebbc3e9709f1f230881373767c34eadf40b
0,0,1,1,0,0,0,0,0,0,0,3,1,1,03f65b3ac3f93b4b9cd6c66a435b054a314cfb4a
0,0,1,1,0,0,0,0,0,0,0,7,7,9,03fa7e4610e8e03b82be9ee3a7d1ef1b603d9e53
0,0,2,2,0,0,0,2,4,4,5,0,8,0,040046bc958103fe16cd3833b3f57d04dde6a04f
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04089a245f91964a86dc44e0eaf1311258e1e916
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0414f32da174b14c5573ce3c344797d8285d4bbe
0,0,1,1,0,0,0,0,0,0,0,3,1,1,04150e11c9c84a48e30525b42d8efcbdec9cac43
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0415c0a0b324be8897c6cf9de595c70dbea8c6f6
0,0,2,2,0,0,0,2,4,4,5,0,8,0,041e76284e7402f907be6cd4f36e8d81ef4408b6
0,0,0,0,0,0,0,2,4,4,5,0,8,0,042227f0fab7249ad93606c42111babcc501c2cc
1,1,1,1,0,0,0,0,0,0,6,7,7,9,042765237380a34ca3f679b90c306b6dcc8f16f6
0,0,0,0,0,0,0,0,0,0,0,3,1,1,042ebeb53ad3aadb622ea30a2e20cbe8cf028f71
0,0,0,0,0,0,0,2,4,4,5,0,8,0,0431a1b005b63a403a77c7c45a0bcd57f516afa0
1,1,1,1,0,0,0,0,0,0,0,3,1,1,04326f377b493a1cc40e5701bf7f503500cff3c9
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0436a4b4d73d396cab6982fc8c4759bf35592faf
0,0,1,1,0,0,0,2,0,0,0,3,1,1,043f8f467b8935e82850684afcf702e00242f674
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0442251ad6e4744029d7f9169c70fdb8167dd594
2,2,0,0,0,0,1,3,1,2,2,1,3,3,0444b8330a2ca568d3813aa5f66407059d8ac2a3
0,0,2,2,0,0,0,2,4,4,5,0,8,0,045032c5d1d121ce60f49091cdb1c7b9854a2676
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0453fb373012a583ac0c504f804a6f13d20d220c
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04633ed3e0987f0f12b906dabb38f889639c3559
0,0,0,0,0,0,0,2,4,4,5,0,8,0,0463fcf43f5afcc541c5e08d61d0bc4746826f99
1,1,1,1,0,0,0,0,0,0,6,7,7,9,0465b77964b811333048e82101799e9c5fb8f8cc
0,0,2,2,0,0,0,2,4,4,5,0,8,0,04674b07018a1dd8d668ec0ce32b164fe278ea28
0,0,0,0,0,0,0,0,0,0,0,3,1,1,046d9c80c7bad68ef9691c4c55b023a0467d1dac
0,0,1,1,0,0,0,0,0,0,0,3,1,1,04711d021c9f7c2640797bfc98e5d93b6da6ef09
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0475575d00b158fcf2fa2a3e1a429ded7f84b891
0,0,0,0,0,0,0,2,4,4,0,3,1,1,047ae2b9758dd21305964c9706bdd3936df2f81b
0,0,0,0,0,0,0,0,0,0,0,3,1,1,047f480f1a1b1e40d7e492884310e0ff19cced1a
0,0,0,0,0,0,0,0,0,0,0,3,1,1,048e83288d926ff7b9db126e908e342165d7310b
1,1,1,1,0,0,0,0,0,0,6,7,7,9,0492578f31795bae9a85c56b001ec12d07dc0625
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0493fcb52cb897a4336c559a9255306de9536997
0,0,0,0,0,0,0,0,0,0,0,3,1,1,049471d4cd44ac1696e3525b94e89f58497be355
